     Orientation no.            sigma (A)       epsilon (cm-1)
                 867                 3.74               58.968
                 868                 3.47               85.482
                 869                 4.28               28.608
                 870                 3.21               81.156
                 871                 3.21               80.511
                 872                 4.28               29.749
                 873                 3.47               85.596
                 874                 3.74               57.714
                 875                 3.12               79.292
                 876                 3.39               88.396
                 877                 5.88               30.485
                 878                 3.30               88.803
                 879                 3.03               75.497
                 880                 4.01               48.721
                 881                 3.47               85.248
                 882                 4.19               41.485
                 883                 3.12               73.732
                 884                 3.30               86.990
                 885                 5.88               29.836
                 886                 3.39               87.814
                 887                 3.39               70.519
                 888                 3.47               65.777
                 889                 3.39               87.287
                 890                 5.88               29.438
                 891                 3.21               85.765
                 892                 3.12               75.411
                 893                 4.19               37.768
                 894                 3.47               85.846
                 895                 3.92               50.881
                 896                 3.03               77.702
                 897                 3.30               89.551
                 898                 5.88               30.661
                 899                 3.30               89.298
                 900                 3.03               78.805
                 901                 3.83               53.780
                 902                 3.47               86.284
                 903                 4.19               32.689
                 904                 3.21               78.321
                 905                 3.21               84.174
                 906                 5.88               29.008
                 907                 3.39               87.252
                 908                 3.65               60.801
                 909                 3.30               73.866
                 910                 3.39               89.091
                 911                 5.88               30.277
                 912                 3.30               88.897
                 913                 3.12               72.707
                 914                 4.10               43.844
                 915                 3.47               86.219
                 916                 4.10               44.324
                 917                 3.03               72.692
                 918                 3.30               89.215
                 919                 5.88               30.358
                 920                 3.39               89.382
                 921                 3.21               74.482
                 922                 3.65               59.855
                 923                 3.39               87.585
                 924                 5.88               28.973
                 925                 3.21               84.045
                 926                 3.21               79.125
                 927                 4.19               30.830
                 928                 3.47               86.855
                 929                 3.83               53.573
                 930                 3.12               77.592
                 931                 3.30               90.126
                 932                 5.88               30.722
                 933                 3.30               90.449
                 934                 3.03               75.848
                 935                 3.92               48.857
                 936                 3.47               86.705
                 937                 4.19               36.704
                 938                 3.12               75.212
                 939                 3.21               87.136
                 940                 5.88               29.692
                 941                 3.39               88.838
                 942                 3.47               65.215
                 943                 3.39               67.719
                 944                 3.39               89.177
                 945                 5.88               29.933
                 946                 3.21               88.032
                 947                 3.12               74.002
                 948                 4.19               37.785
                 949                 3.47               86.743
                 950                 4.01               46.614
                 951                 3.03               73.862
                 952                 3.30               90.547
                 953                 5.88               30.695
                 954                 3.30               90.151
                 955                 3.12               76.709
                 956                 3.74               54.477
                 957                 3.39               87.263
                 958                 5.79               28.522
                 959                 3.21               81.015
                 960                 3.21               82.962
                 961                 5.88               28.834
                 962                 3.39               87.704
                 963                 3.65               56.434
                 964                 3.21               74.319
                 965                 3.39               89.964
                 966                 5.88               30.593
                 967                 3.30               90.258
                 968                 3.03               72.211
