     Orientation no.            sigma (A)       epsilon (cm-1)
                 708                 3.65              197.940
                 709                 3.74              204.290
                 710                 3.65              217.383
                 711                 3.65              200.482
                 712                 4.37              116.403
                 713                 3.47              210.321
                 714                 3.30              226.121
                 715                 4.37              140.131
                 716                 3.74              195.079
                 717                 4.19              151.779
                 718                 3.21              254.417
                 719                 3.56              209.653
                 720                 4.28              117.723
                 721                 3.65              205.593
                 722                 3.39              252.229
                 723                 4.01              175.265
                 724                 3.74              198.076
                 725                 4.45              125.047
                 726                 3.39              213.754
                 727                 3.39              213.567
                 728                 4.45              123.545
                 729                 3.74              199.023
                 730                 3.92              178.024
                 731                 3.39              248.541
                 732                 3.65              206.815
                 733                 4.28              114.604
                 734                 3.56              211.786
                 735                 3.21              252.138
                 736                 4.28              149.962
                 737                 3.74              198.435
                 738                 4.37              140.590
                 739                 3.21              232.705
                 740                 3.47              214.281
                 741                 4.37              113.623
                 742                 3.65              206.436
                 743                 3.56              221.812
                 744                 3.74              198.096
                 745                 3.65              204.690
                 746                 4.45              115.450
                 747                 3.39              214.822
                 748                 3.30              221.598
                 749                 4.37              131.569
                 750                 3.74              200.804
                 751                 4.10              159.045
                 752                 3.21              262.749
                 753                 3.56              213.696
                 754                 4.28              115.413
                 755                 3.56              213.566
                 756                 3.30              260.864
                 757                 4.10              163.540
                 758                 3.65              202.759
                 759                 4.45              128.767
                 760                 3.30              220.954
                 761                 3.39              217.249
                 762                 4.45              116.455
                 763                 3.65              207.188
                 764                 3.83              191.617
                 765                 3.56              227.299
                 766                 3.56              210.371
                 767                 4.37              111.237
                 768                 3.47              218.120
                 769                 3.21              240.297
                 770                 4.37              140.919
                 771                 3.65              203.958
                 772                 4.28              146.476
                 773                 3.21              249.047
                 774                 3.47              218.744
                 775                 4.37              110.365
                 776                 3.56              213.980
                 777                 3.47              239.404
                 778                 3.92              181.563
                 779                 3.65              208.859
                 780                 4.45              119.101
                 781                 3.39              219.488
                 782                 3.30              220.981
                 783                 4.45              124.528
                 784                 3.65              208.414
                 785                 4.01              169.186
                 786                 3.30              256.845
                 787                 3.56              217.425
                 788                 4.28              109.553
                 789                 3.47              219.886
                 790                 3.21              260.870
                 791                 4.19              153.320
                 792                 3.65              208.278
                 793                 4.37              134.822
                 794                 3.21              230.707
                 795                 3.39              221.486
                 796                 4.37              109.803
                 797                 3.56              213.741
                 798                 3.65              208.172
                 799                 3.65              207.715
                 800                 3.56              214.246
                 801                 4.37              109.545
                 802                 3.39              222.449
                 803                 3.21              231.293
                 804                 4.37              134.322
                 805                 3.65              210.422
                 806                 4.19              153.092
                 807                 3.21              261.046
                 808                 3.47              222.734
                 809                 4.28              106.958
                 810                 3.56              220.392
                 811                 3.30              256.880
                 812                 4.01              168.233
                 813                 3.65              212.786
                 814                 4.45              123.397
                 815                 3.30              224.333
                 816                 3.30              222.796
                 817                 4.45              117.331
                 818                 3.65              214.349
                 819                 3.92              180.378
                 820                 3.39              238.472
                 821                 3.56              220.728
                 822                 4.37              106.238
                 823                 3.47              224.820
                 824                 3.21              250.030
                 825                 4.28              144.709
                 826                 3.65              213.162
                 827                 4.28              139.056
                 828                 3.21              243.080
                 829                 3.39              225.475
                 830                 4.37              106.270
                 831                 3.56              221.174
                 832                 3.47              226.610
                 833                 3.83              189.111
                 834                 3.56              217.767
                 835                 4.45              113.016
                 836                 3.39              225.099
                 837                 3.30              226.911
                 838                 4.37              125.588
                 839                 3.65              215.583
                 840                 4.10              161.227
                 841                 3.21              261.585
                 842                 3.47              225.988
                 843                 4.28              103.945
                 844                 3.47              226.788
                 845                 3.21              263.383
                 846                 4.10              156.711
                 847                 3.65              216.242
                 848                 4.37              128.696
                 849                 3.21              229.917
                 850                 3.39              226.903
                 851                 4.45              109.917
                 852                 3.56              221.141
                 853                 3.74              195.966
                 854                 3.56              218.910
                 855                 3.56              223.445
                 856                 4.37              105.506
                 857                 3.39              228.873
                 858                 3.21              239.658
                 859                 4.37              136.260
                 860                 3.65              217.159
                 861                 4.28              145.703
                 862                 3.12              255.583
                 863                 3.47              228.773
                 864                 4.37              102.549
                 865                 3.47              226.438
                 866                 3.39              245.789
                 867                 3.92              174.627
                 868                 3.56              220.687
                 869                 4.45              117.755
                 870                 3.30              228.078
                 871                 3.30              228.125
                 872                 4.45              118.915
                 873                 3.56              220.943
                 874                 3.92              170.783
                 875                 3.30              249.237
                 876                 3.47              228.224
                 877                 4.37              101.333
                 878                 3.47              230.086
                 879                 3.12              257.626
                 880                 4.19              147.717
                 881                 3.56              219.158
                 882                 4.37              134.558
                 883                 3.21              238.147
                 884                 3.39              230.980
                 885                 4.37              105.021
                 886                 3.56              226.092
                 887                 3.56              214.014
                 888                 3.74              197.863
                 889                 3.56              225.365
                 890                 4.37              107.697
                 891                 3.39              230.037
                 892                 3.21              233.225
                 893                 4.37              129.716
                 894                 3.56              221.140
                 895                 4.10              153.593
                 896                 3.21              261.441
                 897                 3.47              231.717
                 898                 4.37               99.016
                 899                 3.47              231.485
                 900                 3.21              258.756
                 901                 4.01              161.839
                 902                 3.56              222.752
                 903                 4.37              123.656
                 904                 3.21              229.947
                 905                 3.30              230.546
                 906                 4.37              111.762
                 907                 3.56              225.562
                 908                 3.83              185.057
                 909                 3.47              230.474
                 910                 3.47              229.112
                 911                 4.37              101.724
                 912                 3.39              233.500
                 913                 3.12              246.699
                 914                 4.28              140.276
                 915                 3.56              222.067
                 916                 4.28              141.308
                 917                 3.12              248.509
                 918                 3.39              233.883
                 919                 4.37              100.945
                 920                 3.47              230.219
                 921                 3.39              233.099
                 922                 3.83              182.873
                 923                 3.56              226.249
                 924                 4.37              113.031
                 925                 3.30              231.358
                 926                 3.21              230.233
                 927                 4.37              122.709
                 928                 3.56              224.592
                 929                 4.01              164.253
                 930                 3.21              256.017
                 931                 3.47              233.149
                 932                 4.37               97.122
                 933                 3.47              233.431
                 934                 3.12              259.226
                 935                 4.10              151.938
                 936                 3.56              223.745
                 937                 4.37              130.138
                 938                 3.21              234.579
                 939                 3.30              232.510
                 940                 4.37              107.166
                 941                 3.56              228.318
                 942                 3.65              202.389
                 943                 3.56              210.701
                 944                 3.56              228.819
                 945                 4.37              105.073
                 946                 3.39              233.614
                 947                 3.21              236.836
                 948                 4.28              131.963
                 949                 3.56              223.773
                 950                 4.19              148.563
                 951                 3.12              256.940
                 952                 3.39              234.814
                 953                 4.37               96.979
                 954                 3.47              233.353
                 955                 3.30              251.039
                 956                 3.92              169.242
                 957                 3.56              225.867
                 958                 4.37              120.245
                 959                 3.30              230.712
                 960                 3.30              231.597
                 961                 4.37              116.845
                 962                 3.56              226.596
                 963                 3.83              175.610
                 964                 3.39              241.081
                 965                 3.47              232.615
                 966                 4.37               98.186
                 967                 3.39              235.526
                 968                 3.12              251.585
                 969                 4.19              144.570
                 970                 3.56              223.540
                 971                 4.28              137.104
                 972                 3.12              240.153
                 973                 3.39              234.995
                 974                 4.37              102.634
