     Orientation no.            sigma (A)       epsilon (cm-1)
                 683                 4.77              196.094
                 684                 3.52              232.440
                 685                 3.96              102.637
                 686                 4.77              252.858
                 687                 4.14               95.377
                 688                 3.96              244.684
                 689                 4.32              216.888
                 690                 4.23               94.964
                 691                 4.77              213.106
                 692                 3.79              123.954
                 693                 3.70              158.454
                 694                 4.85              199.726
                 695                 4.23               94.752
                 696                 4.50              205.089
                 697                 3.70              264.727
                 698                 4.14               98.043
                 699                 4.68              275.199
                 700                 4.05               99.773
                 701                 3.61              265.917
                 702                 4.59              201.104
                 703                 4.23               95.414
                 704                 4.77              196.501
                 705                 3.61              187.237
                 706                 3.87              115.530
                 707                 4.77              225.892
                 708                 4.23               96.968
                 709                 4.14              225.055
                 710                 4.05              234.160
                 711                 4.14               97.394
                 712                 4.77              238.709
                 713                 3.87              110.770
                 714                 3.52              212.652
                 715                 4.77              196.502
                 716                 4.23               96.788
                 717                 4.68              198.694
                 718                 3.52              259.940
                 719                 3.96              103.153
                 720                 4.68              267.926
                 721                 4.14               99.756
                 722                 3.79              258.840
                 723                 4.41              209.381
                 724                 4.23               98.112
                 725                 4.85              204.801
                 726                 3.70              147.349
                 727                 3.70              142.447
                 728                 4.85              206.811
                 729                 4.23               98.628
                 730                 4.41              211.131
                 731                 3.79              255.620
                 732                 4.14              100.638
                 733                 4.77              264.256
                 734                 3.96              105.954
                 735                 3.52              259.056
                 736                 4.68              198.267
                 737                 4.23               99.024
                 738                 4.77              196.833
                 739                 3.52              226.028
                 740                 3.87              112.709
                 741                 4.77              243.687
                 742                 4.14              101.078
                 743                 4.05              236.785
                 744                 4.23              222.641
                 745                 4.14              100.642
                 746                 4.77              222.307
                 747                 3.79              124.439
                 748                 3.52              187.109
                 749                 4.85              198.009
                 750                 4.23              100.369
                 751                 4.59              202.416
                 752                 3.61              270.869
                 753                 4.05              104.786
                 754                 4.68              276.071
                 755                 4.05              104.659
                 756                 3.61              269.141
                 757                 4.50              203.204
                 758                 4.23              101.086
                 759                 4.85              199.890
                 760                 3.61              178.687
                 761                 3.70              130.633
                 762                 4.85              217.630
                 763                 4.14              102.441
                 764                 4.23              219.340
                 765                 3.96              242.788
                 766                 4.14              103.362
                 767                 4.77              250.828
                 768                 3.87              114.128
                 769                 3.52              241.252
                 770                 4.77              197.540
                 771                 4.23              102.138
                 772                 4.68              197.537
                 773                 3.52              257.350
                 774                 3.87              111.702
                 775                 4.77              261.004
                 776                 4.05              105.236
                 777                 3.87              251.835
                 778                 4.32              214.294
                 779                 4.14              103.834
                 780                 4.85              211.907
                 781                 3.70              143.869
                 782                 3.61              165.784
                 783                 4.85              204.354
                 784                 4.14              103.960
                 785                 4.50              207.358
                 786                 3.70              265.721
                 787                 4.05              107.090
                 788                 4.68              272.827
                 789                 3.96              110.332
                 790                 3.52              272.501
                 791                 4.68              199.927
                 792                 4.14              104.325
                 793                 4.77              198.491
                 794                 3.52              215.844
                 795                 3.79              124.397
                 796                 4.77              235.261
                 797                 4.05              105.848
                 798                 4.14              229.877
                 799                 4.14              229.821
                 800                 4.05              106.178
                 801                 4.77              235.265
                 802                 3.79              125.358
                 803                 3.52              216.428
                 804                 4.77              199.132
                 805                 4.14              105.703
                 806                 4.59              200.667
                 807                 3.52              274.287
                 808                 3.96              111.996
                 809                 4.68              273.618
                 810                 3.96              109.485
                 811                 3.70              267.196
                 812                 4.50              207.898
                 813                 4.14              106.790
                 814                 4.85              205.875
                 815                 3.61              170.447
                 816                 3.61              148.728
                 817                 4.85              214.272
                 818                 4.14              107.368
                 819                 4.32              215.745
                 820                 3.87              252.723
                 821                 4.05              109.471
                 822                 4.77              263.056
                 823                 3.87              117.263
                 824                 3.43              261.798
                 825                 4.68              199.955
                 826                 4.14              107.583
                 827                 4.77              199.659
                 828                 3.43              249.367
                 829                 3.79              120.858
                 830                 4.77              254.572
                 831                 4.05              110.028
                 832                 3.96              244.521
                 833                 4.23              221.353
                 834                 4.05              108.922
                 835                 4.77              222.211
                 836                 3.70              141.053
                 837                 3.52              190.996
                 838                 4.85              203.808
                 839                 4.14              108.798
                 840                 4.50              206.576
                 841                 3.61              275.034
                 842                 3.96              113.458
                 843                 4.68              278.388
                 844                 3.96              114.045
                 845                 3.61              276.207
                 846                 4.59              205.019
                 847                 4.14              109.336
                 848                 4.77              203.225
                 849                 3.52              203.742
                 850                 3.70              137.475
                 851                 4.77              229.825
                 852                 4.05              110.854
                 853                 4.14              225.436
                 854                 3.96              240.329
                 855                 4.05              111.663
                 856                 4.77              250.074
                 857                 3.79              126.228
                 858                 3.43              242.227
                 859                 4.77              202.247
                 860                 4.14              110.141
                 861                 4.68              202.914
                 862                 3.43              271.962
                 863                 3.87              119.264
                 864                 4.77              270.403
                 865                 3.96              113.782
                 866                 3.79              261.236
                 867                 4.41              213.912
                 868                 4.05              111.246
                 869                 4.85              214.681
                 870                 3.61              162.668
                 871                 3.52              167.788
                 872                 4.85              213.170
                 873                 4.05              111.501
                 874                 4.41              213.770
                 875                 3.70              264.785
                 876                 3.96              114.827
                 877                 4.77              273.291
                 878                 3.87              119.702
                 879                 3.52              275.415
                 880                 4.68              203.830
                 881                 4.14              111.318
                 882                 4.77              204.425
                 883                 3.43              238.291
                 884                 3.70              129.933
                 885                 4.77              249.369
                 886                 4.05              113.443
                 887                 3.96              238.366
                 888                 4.14              230.240
                 889                 4.05              113.414
                 890                 4.77              237.716
                 891                 3.70              138.333
                 892                 3.43              214.678
                 893                 4.77              207.595
                 894                 4.05              112.154
                 895                 4.59              207.389
                 896                 3.52              281.415
                 897                 3.87              118.946
                 898                 4.68              280.220
                 899                 3.87              116.936
                 900                 3.61              276.652
                 901                 4.50              211.097
                 902                 4.05              112.945
                 903                 4.77              212.206
                 904                 3.52              190.691
                 905                 3.61              151.227
                 906                 4.77              228.454
                 907                 4.05              113.975
                 908                 4.23              223.556
                 909                 3.87              252.584
                 910                 3.96              115.674
                 911                 4.77              264.096
                 912                 3.79              126.367
                 913                 3.43              262.303
                 914                 4.68              206.854
                 915                 4.05              112.944
                 916                 4.68              207.116
                 917                 3.43              266.107
                 918                 3.79              125.824
                 919                 4.77              266.868
                 920                 3.96              116.284
                 921                 3.87              254.806
                 922                 4.23              223.013
                 923                 4.05              114.493
                 924                 4.77              229.210
                 925                 3.61              154.867
                 926                 3.52              187.301
                 927                 4.77              216.846
                 928                 4.05              114.063
                 929                 4.41              214.186
                 930                 3.61              276.795
                 931                 3.87              118.135
                 932                 4.68              281.089
                 933                 3.87              120.841
                 934                 3.52              283.044
                 935                 4.59              210.285
                 936                 4.05              113.856
                 937                 4.77              212.230
                 938                 3.43              222.328
                 939                 3.70              138.742
                 940                 4.77              246.816
                 941                 4.05              115.181
                 942                 4.05              235.828
                 943                 3.96              240.602
                 944                 3.96              115.602
                 945                 4.77              253.716
                 946                 3.70              134.799
                 947                 3.43              236.219
                 948                 4.77              211.450
                 949                 4.05              113.957
                 950                 4.59              211.624
                 951                 3.43              281.408
                 952                 3.79              122.186
                 953                 4.68              278.989
                 954                 3.96              117.839
                 955                 3.70              272.415
                 956                 4.41              218.442
                 957                 4.05              114.706
                 958                 4.77              225.146
                 959                 3.52              176.678
                 960                 3.52              163.988
                 961                 4.77              230.667
                 962                 4.05              114.930
                 963                 4.32              223.143
                 964                 3.79              264.856
                 965                 3.96              117.538
                 966                 4.77              274.832
                 967                 3.79              124.875
                 968                 3.43              275.858
                 969                 4.59              213.013
                 970                 4.05              113.879
                 971                 4.68              214.493
                 972                 3.43              251.675
                 973                 3.70              130.322
                 974                 4.77              264.023
                 975                 3.96              116.453
                 976                 3.87              251.339
                 977                 4.14              233.865
                 978                 4.05              115.188
                 979                 4.77              245.421
                 980                 3.61              145.978
                 981                 3.43              205.215
                 982                 4.77              221.482
                 983                 4.05              114.076
                 984                 4.50              217.419
                 985                 3.52              285.086
                 986                 3.87              120.091
                 987                 4.68              284.396
                 988                 3.87              119.908
                 989                 3.52              284.828
                 990                 4.50              217.953
                 991                 4.05              113.913
                 992                 4.77              223.354
                 993                 3.43              202.557
                 994                 3.61              146.668
                 995                 4.77              247.153
                 996                 4.05              114.863
                 997                 4.14              235.289
                 998                 3.87              255.069
                 999                 3.96              116.076
                1000                 4.77              267.139
                1001                 3.70              129.186
                1002                 3.43              252.705
                1003                 4.68              219.288
                1004                 4.05              113.001
                1005                 4.59              218.645
                1006                 3.43              274.432
                1007                 3.79              124.548
                1008                 4.68              276.249
                1009                 3.96              116.807
                1010                 3.70              268.526
                1011                 4.23              229.620
                1012                 4.05              113.965
                1013                 4.77              240.256
                1014                 3.52              160.718
                1015                 3.52              176.438
                1016                 4.77              234.567
                1017                 4.05              113.383
                1018                 4.32              226.544
                1019                 3.61              278.735
                1020                 3.96              117.010
                1021                 4.68              281.871
                1022                 3.87              121.048
                1023                 3.43              283.738
                1024                 4.50              221.605
                1025                 4.05              112.059
                1026                 4.68              225.685
                1027                 3.43              231.189
                1028                 3.70              133.858
                1029                 4.77              262.673
                1030                 4.05              114.016
                1031                 3.96              250.055
                1032                 3.96              245.614
                1033                 4.05              113.789
                1034                 4.77              260.000
                1035                 3.70              136.222
                1036                 3.43              220.893
                1037                 4.68              229.323
                1038                 4.14              111.429
                1039                 4.50              224.620
                1040                 3.43              285.584
                1041                 3.87              119.516
                1042                 4.68              283.171
                1043                 3.96              116.282
                1044                 3.61              283.509
                1045                 4.32              228.971
                1046                 4.05              111.433
                1047                 4.68              237.968
                1048                 3.52              181.110
                1049                 3.61              152.696
                1050                 4.77              249.307
                1051                 4.05              112.023
                1052                 4.14              236.843
                1053                 3.79              268.866
                1054                 3.96              114.113
                1055                 4.68              275.690
                1056                 3.79              123.353
                1057                 3.43              265.335
                1058                 4.59              228.424
                1059                 4.14              110.236
                1060                 4.59              229.383
                1061                 3.43              257.150
                1062                 3.79              124.455
                1063                 4.68              273.675
                1064                 3.96              112.825
                1065                 3.79              267.040
                1066                 4.14              241.994
